1	FRIJ  MOLIDO SANTA CRUZ NEGROS 800 00 g  0
2	TORT  CORALITOS  300 00 g
3	PLATANO HORTI UNIDAD 1 00 unid  0
4	SALSA SANTA CRUZ CHUNKY SUAVE 415 00 g
5	ELOTE HORTI TIERNO 1 00 unid  0
6	CULANTRO HORTI CASTILLA 1 00 unid  0
7	AGUACATE HORTI HASS 1 00 kg  0
8	LIMON HORTI MANDARINA 1 00 unid  0
9	MANGO HORTI MADURO 1 00 kg  0
10	CAMOTE  GRANEL kg
11	JABON LIQ  MEMBER S SELECTION AVENA  333292  2000
12	POSTA TERRABA PARA SOPA DE RES  1 00 kg  0
13	JARRETE TERRABA DE RES 1 00 kg  0
14	ALIM  GATO DON GATO 0 1000 00 g  0
15	SAZON BADIA COMPLETO 98 00 g  0
16	HUEVO LOS POLLITOS  1 00 kg  0
17	AZUCAR ZUKRA ORGANICA 900 00 g  0
18	COSTILLA TERRABA DE RES 1 00 kg  0
19	HUESO TERRABA REDONDO DE RES  1 00 kg  0
20	FRIJ  BEST MARK NEGRO 700 00 g  0
21	ARROZ BEST MARK 99  1800 00 g  0
22	TORT  DEL FOGON DEL FOGON  280 00 g  0
23	SALSA LIZANO BOTELLA  DOY PACK  1080 00 ml
24	TORT  TORTIRRICA GRUESA 320 00 g  0
25	POLLO PIPASA MUSLO DESH 1 00 kg  0
26	SALCHICHON CINTA AZUL PARRI 1 00 kg  0
27	CEBOLLA HORTI MALLA 1 00 unid  0
28	MANZANA HORTI MIXTA 1X6 BEST MARK 1 00 unid  0
29	UVA HORTI VERDE 1 00 kg  0
30	CERVEZA CORONA BOTELLA 330 00 ml
31	BEB  OATLY AVENA BARISTA 1000 00 ml
32	BEB  BAMBOO RON COLA 350 00 ml
33	BEB  BAMBOO MOJITO 350 00 ml
34	BEB  SMIRNOFF BLACK LATA 350 00 ml
35	GUARO CACIQUE CLARO 365 00 ml  1
36	TOALLA HUM  BOUNCE FRESH 80 00 unid  0
38	PAPAS HORTI MINI MALLA 1 00 unid  0
39	TOMATE HORTI MALLA 1 00 kg  0
40	GUAYABA HORTI HAWAIANA 1 00 kg  0
41	BOLSA ZIPLOC CONGELAR MEDIANA 20 00 unid  0
42	BOLSA ZIPLOC CONGELAR GRANDE 15 00 unid  0
43	GALLETA LA ZARCERE A NATILLA 270 00 g  0
44	ROSCA LA ZARCERE A QUESO 180 00 g
45	FRIJ  MOLIDO SANTA CRUZ ROJOS PICANTE 800 00 g  0
46	BEB  OATLY AVENA ORGANICA 1000 00 ml
47	MASA DO A AREPA BLANCA 1000 00 g  0
48	JUGO DOS PINOS NARANJA 1800 00 ml  0
51	CHILE HORTI MALLA 1 00 unid  0
52	MUSLO PARTIDOPOLLO MARINADO kg
55	TOMATE HORTI PRIMERA 1 00 kg  0
57	CREMA DENTAL ORAL B COMPLETE 4EN1 66 00 ml  0
58	HILO DENTAL DENTUP FLOSS PICKS DENTUP 1 00 unid  0
59	SALCHICH N TERRABA CAMPESINO 500 00 g  0
60	HUEVO PIPASA MARRON 15 UNID 1 00 kg  0
61	ATUN PRONTO TROZOS 2PACK 210 00 g  0
62	ATUN PRONTO VEGETALES 2PACK   210 00 g  0
63	VINO CASILLERO DEL DIABLO DEVILS CARN SUAVIG 750 0
64	QUEQUE MARTEL  ZANAHORIA 490 00 G  0
65	CARRO MATTEL HOT WHEELS COLECCI N 1 00 unid  0
66	NATILLA CORONADO ZARCERO CON SAL 500 00 g  0
67	QUESO MONTE VERDE CREMA 450 00 g  0
68	MORTADELA KIMBY ECONOMIC 375 00 g  0
69	BOLSA NM REUTILIZABLE BOUTIQUE 32X33X20 1 00 unid
70	PAN BM EIFFEL 520 G 520 00 G  0
71	BUDIN BM 0 1 00 unid  0
72	PAN  PURATOS CASTELLANO   400 00 g  0
73	HELADO CHARO GALLETA 1030 00 g  0
75	SANDIA HORTI GRANEL 1 00 kg  0
76	LECHUGA HORTI AMERICANA 1 00 unid  0
77	CEBOLLIN HORTI ROLLO  1 00 unid  0
78	CULANTRO HORTI COYOTE 1 00 unid  0
79	REPOLLO HORTI VERDE GRANEL 1 00 kg  0
81	PEPINO HORTI GRANEL 1 00 kg  0
82	AJO HORTI MALLA 3 00 unid  0
83	LECHE DOS PINOS DELACTOMY 946 00 ml  0
84	ACEITE COCINERO SOYA 900 00 ml  0
85	MANTECA CLOVER GRUESA 460 00 g  0
86	HARINA NACARINA 0 1000 00 g  0
88	HUEVO LA YEMA DORADA ROJ15U  1 00 kg  0
89	HUEVO LA YEMA DORADA PASTOR 1 00 kg  0
90	HONGOS ALFARO REBANADOS 110 00 g  0
91	FRIJOL LUISIANA NEGROS ENTEROS 800 00 g  0
92	MAYONESA KRAFT REAL 443 00 ml  0
93	POLLO PIPASA PECHUGA DESH 1 00 kg  0
94	ZANAHORIA HORTI BOLSA 1 00 unid  0
95	PAPAS KITTY TOSTADAS 1X2 360 00 g  0
96	ENCURTIDO TIO PELON MOSTAZA 262 00 g  0
97	CONSOME MAGGI POLLO BAJO EN SAL 36 00 g  0
98	SALSA LIZANO INGLESA 380 00 g  0
99	REFRESCO COCA COLA GINGER ALE 6000 00 ml  0
101	BOLSA NM REUTILIZABLE GABACHA 32X55X15 1 00 unid
102	WHOOPIES MARTEL  ZANAHORIA 420 00 G  0
103	BEBIDA ROAR HIDRA MANGO CLEM 533 00 ml  0
104	BANANO HORTI MADURO 1 00 unid  0
105	MANTEQUILLA DOS PINOS S  SAL 115 00 g  0
106	JUGO KERNS TOMATE 1000 00 ml  0
107	JAMON CINTA AZUL PAVO AHUMADO 250 00 g  0
108	QUESO KRAFT RALLADO 226 00 g  0
109	PALOMITA JACKS MANTEQUILLA 85 00 g  0
110	PALOMITA JACKS CARAMELO 85 00 g  0
111	DULCE NM DULSUR ATADO 1unid 1 00 unid  0
112	LECHE CORONADO NUTRITIVA 3PACK  3000 00 ml  0
113	ARROZ SABANERO 99  1800 00 g  0
115	GALLETA ARTESANAS MANTEQUILLA 300 00 g  0
116	TORTILLA MILPA REAL TOSTADA PLANA 175 00 g  0
117	KETCHUP KERNS 0 995 00 g  0
118	SALSA PREGO ALBAHACA AJO 680 00 g  0
119	SALSA LIZANO INGLESA 1000 00 ml  0
120	SALSITA BANQUETE SURTIDAS 4PACK 360 00 g  0
121	LECHE LA LECHERA CONDENSADA 395 00 g  0
122	PAPRIKA BADIA 0 56 00 g  0
123	GARBANZO CALVO 0 307 00 g  0
125	HONGOS CALVO 0 113 00 g  0
126	SARDINA MADRIGAL ACEITE OLIVA 88 00 g  0
127	CALAMAR PAY PAY TROZOS SALSA AMERICANA 3UN 80 00 g
128	CALAMAR PAY PAY TROZOS EN TINTA 3UN 80 00 g  0
129	ADEREZO MCCORMICK ITALIANO 273 00 ml  0
130	MAIZ DULCE RICHLY 0 149 00 g  0
131	GINEBRA TANQUERAY LONDON DRY 750 00 ml  1
132	PAN OROWEAT MULTI GRANO 680 00 g  0
133	NUECES BEST MARK SALADA FRASCO    907 00 g  0
134	TROCITOS DE POLLO HIERBAS KG
135	PEZU A TERRABA DE CERDO 1 00 kg  0
137	POLLO TROZO MIXTO MARINADO kg
138	MAIZ DULCE BEST MARK LATA 110 00 g  0
139	HONGOS BEST  MARK REBANADOS 110 00 g  0
140	ADER  ALOLIVO ITALIANO 240 00 g  0
141	ATUN CALVO TROZOS 2PACK 160 00 g  0
142	ACEITE ROMA GIRASOL 1000 00 ml
144	CEPILLO DE DIENTES COLGATE KIT PORTABLE 1 00 unid
145	KIT NM SEGURIDAD VEHICULO 1 00 unid  0
146	ESTUCHE NM P CEPILLO DENTAL 2 00 unid  0
147	AROMATIZANTE LITTLE TREES NEW CARD 1 00 unid  0
148	REFRESCO  CANADA DRY GINGER ALE 2 50 l  0
151	PAN  OROWEAT AVENA  680 00 G  0
153	PAPAS TOSTADAS UGLIES SAL MARINA 171 00 G  0
154	PAPAS TOSTADAS UGLIES CHEDDAR Y NATILLA 330 00 ml
155	ARROZ HALCON 99  1 80 kg  0
156	FRIJOL SABANERO NEGRO 800 00 G  0
157	TORTILLA DEL FOGON  560 00 G  0
158	LECHE DOS PINOS ENTERA ROJA 1 00 l  1
159	SALSA NATURAS ITALIANA CLASICA 385 00 G  0
160	JUGO DOS PINOS NARANJA ZANAHORIA 1 80 l  1
162	HONGOS TO OS TROZOS 190 00 G  0
164	ACHIOTE LOS PATITOS TAZA 210 00 G  0
165	QUESO DOS PINOS IN LINE 192 00 G  1
166	PI A HORTI PRIMERA 1 00 unid  0
167	QUESO MONTERICO CHEDDAR 227 00 G  0
168	QUESO MONTE VERDE MOZZARELLA RALLADO 227 00 G  0
169	NATILLA DOS PINOS LA GRANJA CON SAL 500 00 G  1
170	PECHUGA DIETZ   WATSON PAVO REBANADO 450 00 G  0
171	TOCINETA FARMLAND BAJO EN SODIO 340 00 G  0
172	TOCINETA HORMEL REBANADA 340 00 G  0
173	SALAMI HISPANOTICA EXTRA 100 00 G  0
174	ZUQUINI GRANDE unid
175	TOMATE CHERRI GOURMET 1unid
176	VAINICAS HORTI GRANEL 1 00 kg  0
177	TOMATE MALLA unid
179	BROCOLI HORTI FRESCO 1 00 kg  0
180	COLIFLOR HORTI FRESCA 1 00 unid  0
181	CEBOLLA HORTI MORADA 1 00 kg  0
182	ZANAHORIA HORTI GRANEL 1 00 kg  0
183	CHILE HORTI MUNDIAL 1 00 unid  0
184	CEBOLLA HORTI GRANEL 1 00 kg  0
185	PAPAYA HORTI GRANEL 1 00 kg  0
186	MANZANA TERRABA MIXTA 1X6 1 00 unid  0
187	UVA FRUTA INTERNACIONAL GLOBO 1 00 kg  0
188	BEBIDA BAMBOO DAIQUIRI FRESA 350 00 ml  1
190	AGUA ALPINA 0 1 00 l  0
191	ADAPTADOR HDMI A VGA X TECH
192	PATCH CORE 3FT NEXXT
193	BASE PARA CARRO
195	SANGRIA PE ASOL ORIGINAL TETRAPACK 1000 00 ml  0
196	BOLSA CHIM TELA BM L 1 00 unid
197	POLLO PIPASA MOLLEJA  1 00 kg  0
198	BEB  SMIRNOFF GREEN APPLE LATA 350 00 ml
199	REF  CANADA DRY GINGER ALE 1500 00 ml  0
200	BEB  RUDE HEALTH AVENA 1000 00 ml
201	BEB  NATURES HEART ALMENDRA VAINILLA SIN AZUCAR 10
202	HELADO DOS PINOS CREMA CHIPS 1890 00 ml  0
203	BEB  OATLY AVENA CHOCOLATE 1000 00 ml
204	SEMILLAS BEST MARK MIX S SAL FRA 907 00 g
